Onderdeel;Corrects;Attempts;Punten;Max
std-Opstarten;6;6;4;4
std-Connect;4;4;1;1
std-Disconnect;4;4;1;1
std-Berichten;4;4;1;1
std-BerichtNaVerandering;8;8;0,5;0,5
std-NetwerkPartitie;4;4;1;1
Opstarten;14;14;4;4
Connect;24;24;1;1
Disconnect;8;8;1;1
Berichten;8;8;1;1
BerichtNaVerandering;12;12;0,5;0,5
NetwerkPartitie;4;4;1;1
BovenLimiet;1;1;1;1
Totaal;-;-;18;(van 18)

Let op: deze berekening is niet het definitieve cijfer. Dit is alleen maar een automatisch gegenereerde score voor het testbare gedeelte, en het staat nog niet vast dat we dit bij de beoordeling gebruiken.

------------------------------------

Testcase;Status;Tijd;Omschrijving
Standaard;Correct;4,48;Opstarten netwerk
Standaard;Correct;0,56;Berichten sturen
Standaard;Correct;2,52;Verbindingen aanleggen met C
Standaard;Correct;0,08;Berichten sturen in gewijzigd netwerk
Standaard;Correct;10,80;Verbindingen verbreken
Standaard;Correct;0,02;Berichten sturen in gewijzigd netwerk
Standaard;Correct;0,34;Netwerk onsamenhangend maken
Standaard;Correct;0,12;Variabele bovengrens
Standaard;Correct;0,34;Berichten sturen in onsamenhangend netwerk
Random;Correct;7,18;Opstarten netwerk
Random;Correct;1,08;Berichten sturen
Random;Correct;5,77;Verbindingen verbreken
Random;Correct;1,53;Verbindingen maken
Random;Correct;0,69;Berichten sturen in gewijzigd netwerk
Random;Correct;0,05;Routingtabelcheck (zijn buurnodes correct?)
2xStandaard;Correct;4,42;Opstarten netwerk
2xStandaard;Correct;1,15;Samenvoegen netwerken 1
2xStandaard;Correct;1,18;Samenvoegen netwerken 2
2xStandaard;Correct;0,99;Berichten sturen in samengevoegd netwerk
2xStandaard;Correct;5,76;Disconnects
Lijn-netwerk;Correct;3,27;Opstarten netwerk
Lijn-netwerk;Correct;1,11;Berichten sturen
Lijn-netwerk;Correct;4,01;Verbindingen maken
Lijn-netwerk;Correct;5,86;Verbindingen verbreken
Lijn-netwerk;Correct;0,57;Berichten sturen in gewijzigd netwerk
Lijn-netwerk;Correct;0,05;Routingtabelcheck (zijn buurnodes correct?)
Connected;Correct;18,73;Opstarten netwerk
Standaard;Correct;4,27;Opstarten netwerk
Standaard;Correct;0,57;Berichten sturen
Standaard;Correct;2,54;Verbindingen aanleggen met C
Standaard;Correct;0,10;Berichten sturen in gewijzigd netwerk
Standaard;Correct;10,48;Verbindingen verbreken
Standaard;Correct;0,04;Berichten sturen in gewijzigd netwerk
Standaard;Correct;0,37;Netwerk onsamenhangend maken
